EJERCICIO,NRO_CANCE,ESTADO,FECHA_ANULA,COD_PROV,TIPO_CANCE,OBSERVACIONES,USUARIO,FECHA_ALTA
2026,982,N,,3337,P,,SLEIVA,2026-03-19 09:27:18
2026,986,N,,2986,P,,SLEIVA,2026-03-19 09:48:50
2026,988,N,,2513,P,,SLEIVA,2026-03-19 09:50:56
2026,985,N,,53,P,,SLEIVA,2026-03-19 09:47:50
2026,990,N,,3445,P,,SLEIVA,2026-03-19 09:52:53
2026,987,N,,2309,P,,SLEIVA,2026-03-19 09:49:56
2026,992,N,,2098,P,,SLEIVA,2026-03-19 09:55:14
2026,989,N,,2584,P,,SLEIVA,2026-03-19 09:51:57
2026,994,N,,2086,P,,SLEIVA,2026-03-19 09:57:28
2026,991,N,,41,P,,SLEIVA,2026-03-19 09:54:36
2026,998,N,,50575,P,,GTEVEZ,2026-03-20 07:59:51
2026,993,N,,2308,P,,SLEIVA,2026-03-19 09:56:18
2026,996,N,,2770,P,,SLEIVA,2026-03-19 11:58:50
2026,995,N,,174,P,,SLEIVA,2026-03-19 09:59:23
2026,1000,N,,2878,P,,GTEVEZ,2026-03-20 08:02:59
2026,997,N,,50008,P,,SLEIVA,2026-03-19 12:13:49
2026,1002,N,,3561,P,,GTEVEZ,2026-03-20 08:07:01
2026,999,N,,50506,P,,GTEVEZ,2026-03-20 08:01:14
2026,1004,N,,2846,P,,GTEVEZ,2026-03-20 08:18:37
2026,1001,N,,50003,P,,GTEVEZ,2026-03-20 08:05:51
2026,1007,N,,50002,P,,GTEVEZ,2026-03-20 08:41:19
2026,1003,N,,2470,P,,GTEVEZ,2026-03-20 08:17:05
2026,1006,N,,1754,A,,GTEVEZ,2026-03-20 08:22:50
2026,1005,N,,3302,A,,GTEVEZ,2026-03-20 08:21:06
2026,1013,N,,51021,P,,SLEIVA,2026-03-20 11:26:01
2026,1009,N,,50012,P,,GTEVEZ,2026-03-20 09:30:43
2026,1008,N,,707,P,,GTEVEZ,2026-03-20 08:56:26
2026,1011,N,,2369,P,,CDOPAZO,2026-03-20 11:20:03
2026,1010,N,,50012,P,,GTEVEZ,2026-03-20 09:33:36
2026,1015,N,,1489,P,,SLEIVA,2026-03-25 08:20:09
2026,1012,N,,50072,P,,SLEIVA,2026-03-20 11:22:14
2026,1017,N,,50074,P,,RMENDEZ,2026-03-25 08:33:33
2026,1014,N,,2969,P,,SLEIVA,2026-03-25 08:19:11
2026,1019,N,,3426,P,,SLEIVA,2026-03-25 10:14:14
2026,1016,N,,50063,P,,SLEIVA,2026-03-25 08:21:53
2026,1021,N,,50087,P,,RMENDEZ,2026-03-25 10:24:19
2026,1018,N,,2627,P,,SLEIVA,2026-03-25 08:57:20
2026,1023,N,,50553,P,,SLEIVA,2026-03-25 10:44:14
2026,1020,N,,1960,A,,SLEIVA,2026-03-25 10:15:39
2026,1022,N,,400,P,,SLEIVA,2026-03-25 10:41:58
2026,1,N,,2878,A,,SLEIVA,2026-01-02 10:01:26
2026,98,N,,3373,A,,SLEIVA,2026-01-13 08:39:33
2026,3,N,,50008,A,,SLEIVA,2026-01-02 11:36:17
2026,2,N,,50370,P,,SLEIVA,2026-01-02 10:42:50
2026,240,N,,71,A,,CDOPAZO,2026-01-21 08:43:52
2026,26,N,,50036,P,,RMENDEZ,2026-01-06 08:25:13
2026,248,N,,879,A,,CDOPAZO,2026-01-21 09:38:40
2026,99,N,,3478,A,,SLEIVA,2026-01-13 08:40:41
2026,284,N,,50496,P,,SLEIVA,2026-01-23 09:12:11
2026,247,N,,879,A,,CDOPAZO,2026-01-21 09:35:11
2026,286,N,,50031,P,,SLEIVA,2026-01-23 09:19:02
2026,283,N,,2593,A,,SLEIVA,2026-01-23 09:04:18
2026,288,N,,2636,A,,SLEIVA,2026-01-23 09:23:52
2026,285,N,,50011,P,,SLEIVA,2026-01-23 09:14:21
2026,290,N,,295,P,,SLEIVA,2026-01-23 09:27:09
2026,287,N,,167,A,,SLEIVA,2026-01-23 09:20:43
2026,292,N,,2525,P,,SLEIVA,2026-01-23 09:31:55
2026,289,N,,2958,A,,SLEIVA,2026-01-23 09:26:13
2026,294,N,,50003,P,,SLEIVA,2026-01-23 09:36:05
2026,291,N,,2810,A,,SLEIVA,2026-01-23 09:29:13
2026,296,N,,2299,A,,SLEIVA,2026-01-23 11:00:04
2026,293,N,,2525,P,,SLEIVA,2026-01-23 09:32:45
2026,298,N,,2804,A,,SLEIVA,2026-01-23 11:04:32
2026,295,N,,3356,A,,SLEIVA,2026-01-23 10:51:23
2026,300,N,,3452,A,,SLEIVA,2026-01-23 11:08:22
2026,297,N,,50003,P,,SLEIVA,2026-01-23 11:02:07
2026,330,N,,2330,A,,CDOPAZO,2026-01-27 11:40:05
2026,299,N,,2593,A,,SLEIVA,2026-01-23 11:06:38
2026,327,N,,279,A,,CDOPAZO,2026-01-27 09:33:16
2026,315,N,,300,A,,CDOPAZO,2026-01-26 08:44:44
2026,342,N,,51093,P,,SLEIVA,2026-01-28 10:25:39
2026,5,N,,50058,P,,SLEIVA,2026-01-05 08:29:11
2026,7,N,,50084,P,,SLEIVA,2026-01-05 08:39:16
2026,4,N,,50058,P,,SLEIVA,2026-01-05 08:23:23
2026,9,N,,50056,P,,SLEIVA,2026-01-05 08:45:13
2026,6,N,,50062,P,,SLEIVA,2026-01-05 08:33:47
2026,11,N,,50059,P,,SLEIVA,2026-01-05 08:47:46
2026,8,N,,50010,P,,SLEIVA,2026-01-05 08:41:45
2026,13,N,,50065,P,,SLEIVA,2026-01-05 08:49:55
2026,10,N,,50465,P,,SLEIVA,2026-01-05 08:46:38
2026,104,N,,2835,A,,SLEIVA,2026-01-14 08:29:37
2026,12,N,,50064,P,,SLEIVA,2026-01-05 08:48:53
2026,15,N,,1078,A,,SLEIVA,2026-01-05 09:30:53
2026,14,N,,707,P,,SLEIVA,2026-01-05 08:51:02
2026,16,N,,2770,A,,SLEIVA,2026-01-05 09:42:00
2026,106,N,,2697,A,,SLEIVA,2026-01-14 08:36:01
2026,108,N,,53,P,,SLEIVA,2026-01-14 08:38:21
2026,105,N,,2846,A,,SLEIVA,2026-01-14 08:34:22
2026,112,N,,2098,P,,SLEIVA,2026-01-14 08:40:58
2026,107,N,,2513,P,,SLEIVA,2026-01-14 08:37:42
2026,114,N,,1101,A,,SLEIVA,2026-01-14 08:47:16
2026,110,N,,400,P,,SLEIVA,2026-01-14 08:40:19
2026,116,N,,2107,A,,SLEIVA,2026-01-14 08:50:32
2026,113,N,,2308,A,,SLEIVA,2026-01-14 08:44:08
2026,118,N,,2086,P,,SLEIVA,2026-01-14 08:52:18
2026,115,N,,875,A,,SLEIVA,2026-01-14 08:48:56
2026,120,N,,3075,A,,SLEIVA,2026-01-14 08:55:03
2026,117,N,,2522,P,,SLEIVA,2026-01-14 08:51:27
2026,122,N,,2521,A,,SLEIVA,2026-01-14 09:32:22
2026,119,N,,3029,P,,SLEIVA,2026-01-14 08:53:16
2026,124,N,,688,A,,SLEIVA,2026-01-14 09:45:46
2026,121,N,,3338,A,,SLEIVA,2026-01-14 09:27:55
2026,126,N,,2208,A,,SLEIVA,2026-01-14 09:49:36
2026,123,N,,3233,A,,SLEIVA,2026-01-14 09:33:04
2026,128,N,,68,A,,SLEIVA,2026-01-14 09:51:53
2026,125,N,,2450,A,,SLEIVA,2026-01-14 09:48:34
2026,130,N,,3012,A,,SLEIVA,2026-01-14 09:54:36
2026,127,N,,2538,A,,SLEIVA,2026-01-14 09:50:48
2026,132,N,,50008,A,,SLEIVA,2026-01-14 10:21:22
2026,129,N,,2018,A,,SLEIVA,2026-01-14 09:53:16
2026,134,N,,50031,P,,SLEIVA,2026-01-14 11:51:30
2026,131,N,,51093,P,,SLEIVA,2026-01-14 10:18:43
2026,204,N,,50925,P,,RMENDEZ,2026-01-19 10:01:47
2026,133,N,,3470,A,,SLEIVA,2026-01-14 10:58:12
2026,258,N,,879,A,,GTEVEZ,2026-01-22 08:07:00
2026,202,N,,50063,P,,RMENDEZ,2026-01-19 09:42:06
2026,233,N,,163,A,,CDOPAZO,2026-01-20 12:48:09
2026,205,N,,50087,P,,RMENDEZ,2026-01-19 10:12:35
2026,261,A,2026-01-22 00:00:00,2490,A,,GTEVEZ,2026-01-22 08:13:07
2026,255,N,,3012,A,,SLEIVA,2026-01-21 13:28:24
2026,264,N,,688,A,,GTEVEZ,2026-01-22 08:35:15
2026,259,N,,1603,A,,GTEVEZ,2026-01-22 08:11:44
2026,262,N,,1235,A,,GTEVEZ,2026-01-22 08:20:21
2026,265,N,,717,A,,GTEVEZ,2026-01-22 09:04:36
2026,266,N,,717,P,,GTEVEZ,2026-01-22 09:08:08
2026,344,N,,51094,P,,SLEIVA,2026-01-28 11:50:37
2026,343,N,,3177,A,,GTEVEZ,2026-01-28 11:49:22
2026,346,N,,3145,P,,SLEIVA,2026-01-28 11:56:01
2026,369,N,,3218,A,,SLEIVA,2026-01-29 12:06:58
2026,345,N,,1524,P,,SLEIVA,2026-01-28 11:52:20
2026,361,N,,50008,P,,SLEIVA,2026-01-29 11:30:40
2026,347,N,,2969,P,,SLEIVA,2026-01-28 11:59:25
2026,371,N,,5,A,,SLEIVA,2026-01-29 12:22:09
2026,368,N,,3218,P,,SLEIVA,2026-01-29 12:05:43
2026,375,N,,1879,P,,GTEVEZ,2026-01-30 08:24:43
2026,370,N,,2969,P,,SLEIVA,2026-01-29 12:09:53
2026,377,N,,1161,A,,GTEVEZ,2026-01-30 08:32:55
2026,374,N,,2410,A,,GTEVEZ,2026-01-30 08:18:55
2026,379,N,,2627,P,,GTEVEZ,2026-01-30 08:48:35
2026,376,N,,50031,P,,GTEVEZ,2026-01-30 08:29:33
2026,402,N,,167,P,,GTEVEZ,2026-02-03 08:07:34
2026,378,N,,3332,A,,GTEVEZ,2026-01-30 08:35:23
2026,404,N,,2142,A,,GTEVEZ,2026-02-03 08:13:27
2026,380,N,,2627,A,,GTEVEZ,2026-01-30 08:55:46
2026,406,N,,50410,P,,GTEVEZ,2026-02-03 08:16:30
2026,403,N,,1626,P,,GTEVEZ,2026-02-03 08:11:54
2026,408,N,,3405,P,,CDOPAZO,2026-02-03 08:21:20
2026,405,N,,2299,P,,GTEVEZ,2026-02-03 08:15:02
2026,410,N,,50062,P,,GTEVEZ,2026-02-03 08:38:00
2026,407,N,,2804,A,,GTEVEZ,2026-02-03 08:18:23
2026,412,N,,50084,P,,GTEVEZ,2026-02-03 08:43:40
2026,409,N,,50058,P,,GTEVEZ,2026-02-03 08:33:19
2026,414,N,,50059,P,,GTEVEZ,2026-02-03 08:51:38
2026,411,N,,50010,P,,GTEVEZ,2026-02-03 08:40:18
2026,416,N,,50065,P,,GTEVEZ,2026-02-03 08:55:33
2026,413,N,,50056,P,,GTEVEZ,2026-02-03 08:49:00
2026,418,N,,707,P,,GTEVEZ,2026-02-03 08:57:58
2026,415,N,,50064,P,,GTEVEZ,2026-02-03 08:53:31
2026,420,N,,50053,P,,GTEVEZ,2026-02-03 09:28:27
2026,417,N,,50465,P,,GTEVEZ,2026-02-03 08:56:52
2026,423,N,,50087,P,,RMENDEZ,2026-02-03 12:39:11
2026,419,N,,50066,P,,GTEVEZ,2026-02-03 09:02:54
2026,455,N,,2784,P,,GTEVEZ,2026-02-05 08:23:20
2026,421,N,,3509,P,,RMENDEZ,2026-02-03 09:52:31
2026,457,N,,3262,A,,GTEVEZ,2026-02-05 08:28:55
2026,454,N,,1547,P,,GTEVEZ,2026-02-05 08:22:31
2026,459,N,,875,P,,GTEVEZ,2026-02-05 08:32:49
2026,456,N,,2110,A,,GTEVEZ,2026-02-05 08:27:00
2026,461,N,,2613,A,,GTEVEZ,2026-02-05 08:38:11
2026,458,N,,2110,A,,GTEVEZ,2026-02-05 08:31:05
2026,463,N,,1514,A,,GTEVEZ,2026-02-05 08:57:21
2026,460,N,,875,A,,GTEVEZ,2026-02-05 08:35:13
2026,465,N,,2218,A,,GTEVEZ,2026-02-05 09:58:02
2026,462,N,,50003,P,,GTEVEZ,2026-02-05 08:51:28
2026,472,N,,50074,P,,RMENDEZ,2026-02-06 08:23:33
2026,464,N,,2490,A,,GTEVEZ,2026-02-05 09:57:05
2026,483,N,,3390,A,,SLEIVA,2026-02-09 11:07:33
2026,466,N,,50053,P,,GTEVEZ,2026-02-05 10:01:34
2026,485,N,,50002,P,,SLEIVA,2026-02-09 12:01:20
2026,473,N,,708,P,,RMENDEZ,2026-02-06 09:57:11
2026,494,N,,230,P,,RMENDEZ,2026-02-10 10:00:24
2026,484,N,,803,A,,SLEIVA,2026-02-09 11:56:24
2026,538,N,,50087,P,,RMENDEZ,2026-02-12 11:26:04
2026,486,N,,3233,P,,SLEIVA,2026-02-09 12:15:59
2026,622,N,,160,P,,SLEIVA,2026-02-23 07:33:56
2026,500,N,,2595,A,,CDOPAZO,2026-02-11 08:45:31
2026,624,N,,160,P,,SLEIVA,2026-02-23 07:43:21
2026,596,N,,50023,P,,RMENDEZ,2026-02-19 11:19:33
2026,626,N,,1994,P,,SLEIVA,2026-02-23 07:45:19
2026,623,N,,160,A,,SLEIVA,2026-02-23 07:39:25
2026,628,A,2026-02-24 00:00:00,3287,P,,SLEIVA,2026-02-23 08:06:20
2026,625,N,,50496,P,,SLEIVA,2026-02-23 07:44:27
2026,630,N,,3337,P,,SLEIVA,2026-02-23 08:43:03
2026,627,N,,50031,P,,SLEIVA,2026-02-23 07:46:55
2026,632,N,,3299,A,,SLEIVA,2026-02-23 08:48:17
2026,629,N,,3287,P,,SLEIVA,2026-02-23 08:07:01
2026,634,N,,2804,P,,SLEIVA,2026-02-23 08:53:48
2026,631,N,,86,A,,SLEIVA,2026-02-23 08:47:24
2026,636,N,,169,A,,SLEIVA,2026-02-23 08:55:53
2026,633,N,,2151,A,,SLEIVA,2026-02-23 08:49:36
2026,638,N,,41,A,,GTEVEZ,2026-02-23 08:59:06
2026,635,N,,2804,A,,SLEIVA,2026-02-23 08:54:56
2026,640,N,,875,A,,GTEVEZ,2026-02-23 09:01:32
2026,637,N,,1754,A,,GTEVEZ,2026-02-23 08:57:02
2026,642,N,,2425,P,,SLEIVA,2026-02-23 09:11:18
2026,639,N,,2701,A,,GTEVEZ,2026-02-23 09:00:31
2026,644,N,,1228,P,,SLEIVA,2026-02-23 09:12:58
2026,641,N,,2142,A,,GTEVEZ,2026-02-23 09:02:28
2026,646,N,,1259,A,,GTEVEZ,2026-02-23 09:31:13
2026,643,N,,1090,P,,SLEIVA,2026-02-23 09:12:04
2026,654,N,,33,P,,RMENDEZ,2026-02-24 10:09:34
2026,645,N,,1259,A,,GTEVEZ,2026-02-23 09:29:48
2026,652,N,,33,P,,RMENDEZ,2026-02-24 10:05:57
2026,647,N,,635,P,,SLEIVA,2026-02-23 10:59:06
2026,657,N,,193,P,,RMENDEZ,2026-02-24 11:14:20
2026,659,N,,193,P,,RMENDEZ,2026-02-24 11:15:56
2026,655,N,,33,P,,RMENDEZ,2026-02-24 10:19:25
2026,692,N,,50087,P,,RMENDEZ,2026-02-26 10:41:40
2026,658,N,,193,P,,RMENDEZ,2026-02-24 11:15:14
2026,705,N,,50087,P,,RMENDEZ,2026-02-27 09:27:13
2026,690,N,,2209,A,,CDOPAZO,2026-02-26 10:07:19
2026,707,N,,50087,P,,RMENDEZ,2026-02-27 09:34:13
2026,693,N,,50087,P,,RMENDEZ,2026-02-26 10:52:11
2026,709,N,,50063,P,,RMENDEZ,2026-02-27 10:52:05
2026,706,N,,50087,P,,RMENDEZ,2026-02-27 09:31:23
2026,714,N,,866,P,,CDOPAZO,2026-02-27 11:27:22
2026,708,N,,1809,P,,RMENDEZ,2026-02-27 09:35:08
2026,712,N,,1440,A,,CDOPAZO,2026-02-27 11:22:36
2026,710,N,,50063,P,,RMENDEZ,2026-02-27 10:53:37
2026,729,N,,51082,P,,SLEIVA,2026-03-03 09:51:22
2026,713,N,,1440,P,,CDOPAZO,2026-02-27 11:24:19
2026,734,N,,50058,P,,SLEIVA,2026-03-03 11:26:10
2026,728,N,,50002,P,,SLEIVA,2026-03-03 07:53:08
2026,736,N,,50084,P,,SLEIVA,2026-03-03 11:36:01
2026,730,N,,2069,P,,SLEIVA,2026-03-03 09:52:14
2026,738,N,,50059,P,,SLEIVA,2026-03-03 11:41:29
2026,735,N,,50062,P,,SLEIVA,2026-03-03 11:32:17
2026,740,N,,50065,P,,SLEIVA,2026-03-03 11:43:55
2026,737,N,,50010,P,,SLEIVA,2026-03-03 11:38:32
2026,743,N,,707,P,,SLEIVA,2026-03-03 11:47:10
2026,739,N,,50064,P,,SLEIVA,2026-03-03 11:42:29
2026,741,N,,50465,P,,SLEIVA,2026-03-03 11:44:52
2026,758,N,,3364,P,,CDOPAZO,2026-03-04 10:03:24
2026,742,N,,50056,P,,SLEIVA,2026-03-03 11:46:12
2026,757,N,,3562,P,,CDOPAZO,2026-03-04 09:40:26
2026,760,N,,441,A,,CDOPAZO,2026-03-04 11:30:00
2026,21,N,,877,A,,SLEIVA,2026-01-06 08:08:29
2026,23,N,,1603,A,,SLEIVA,2026-01-06 08:10:32
2026,20,N,,1214,A,,SLEIVA,2026-01-06 08:07:00
2026,25,N,,125,A,,SLEIVA,2026-01-06 08:13:26
2026,22,N,,2214,A,,SLEIVA,2026-01-06 08:09:27
2026,28,N,,50053,P,,SLEIVA,2026-01-06 08:30:36
2026,24,N,,2450,A,,SLEIVA,2026-01-06 08:11:36
2026,27,N,,50551,P,,SLEIVA,2026-01-06 08:29:29
2026,48,N,,3454,A,,SLEIVA,2026-01-08 08:03:31
2026,50,N,,3228,A,,SLEIVA,2026-01-08 08:05:57
2026,47,N,,1825,A,,SLEIVA,2026-01-08 08:02:45
2026,52,N,,3240,A,,SLEIVA,2026-01-08 08:07:25
2026,49,N,,2032,A,,SLEIVA,2026-01-08 08:04:39
2026,54,N,,3438,A,,SLEIVA,2026-01-08 08:09:30
2026,51,N,,2812,A,,SLEIVA,2026-01-08 08:06:42
2026,53,N,,3455,A,,SLEIVA,2026-01-08 08:08:10
2026,267,N,,436,A,,GTEVEZ,2026-01-22 09:14:21
2026,269,N,,688,A,,GTEVEZ,2026-01-22 09:20:40
2026,268,N,,3483,A,,GTEVEZ,2026-01-22 09:15:22
2026,273,N,,2259,A,,GTEVEZ,2026-01-22 11:05:04
2026,271,N,,3287,A,,GTEVEZ,2026-01-22 09:47:13
2026,270,N,,3287,A,,GTEVEZ,2026-01-22 09:39:50
2026,301,N,,2869,A,,SLEIVA,2026-01-23 11:42:31
2026,272,N,,3287,A,,GTEVEZ,2026-01-22 09:56:58
2026,360,N,,2170,A,,CDOPAZO,2026-01-29 10:38:37
2026,274,N,,33,P,,RMENDEZ,2026-01-22 11:44:07
2026,307,N,,50036,P,,SLEIVA,2026-01-23 13:16:10
2026,303,N,,2869,P,,SLEIVA,2026-01-23 11:47:57
2026,397,N,,50057,P,,RMENDEZ,2026-02-02 10:21:40
2026,358,N,,3419,A,,CDOPAZO,2026-01-29 09:16:18
2026,373,N,,840,A,,CDOPAZO,2026-01-29 13:11:04
2026,362,A,2026-01-29 00:00:00,840,A,,CDOPAZO,2026-01-29 11:45:54
2026,453,N,,50162,P,,SLEIVA,2026-02-04 12:59:55
2026,546,N,,50031,P,,SLEIVA,2026-02-13 09:48:49
2026,422,N,,50002,P,,SLEIVA,2026-02-03 12:27:49
2026,648,N,,50922,P,,RMENDEZ,2026-02-23 13:00:09
2026,545,N,,50008,P,,SLEIVA,2026-02-13 08:32:31
2026,653,N,,2334,A,,GTEVEZ,2026-02-24 10:06:00
2026,620,N,,87,A,,CDOPAZO,2026-02-20 10:42:44
2026,660,N,,50431,P,,GTEVEZ,2026-02-24 11:49:44
2026,651,N,,3075,P,,GTEVEZ,2026-02-24 09:56:50
2026,663,N,,717,P,,SLEIVA,2026-02-25 07:40:35
2026,656,N,,1555,A,,GTEVEZ,2026-02-24 11:01:30
2026,661,A,2026-02-25 00:00:00,50431,P,,GTEVEZ,2026-02-24 11:55:42
2026,665,N,,3448,P,,SLEIVA,2026-02-25 07:45:33
2026,662,N,,50431,P,,GTEVEZ,2026-02-24 12:03:45
2026,667,N,,2843,P,,SLEIVA,2026-02-25 07:47:36
2026,664,N,,2969,P,,SLEIVA,2026-02-25 07:44:16
2026,672,N,,50072,P,,SLEIVA,2026-02-25 08:21:44
2026,666,N,,2450,P,,SLEIVA,2026-02-25 07:46:38
2026,669,N,,436,P,,SLEIVA,2026-02-25 08:17:40
2026,674,N,,50072,P,,SLEIVA,2026-02-25 08:28:19
2026,671,N,,50003,P,,SLEIVA,2026-02-25 08:18:55
2026,678,N,,879,A,,SLEIVA,2026-02-25 10:10:54
2026,673,N,,50072,P,,SLEIVA,2026-02-25 08:27:19
2026,680,N,,3220,P,,SLEIVA,2026-02-25 10:16:36
2026,676,N,,50031,P,,SLEIVA,2026-02-25 10:04:37
2026,683,N,,2209,A,,GTEVEZ,2026-02-26 08:13:00
2026,679,N,,2969,P,,SLEIVA,2026-02-25 10:15:00
2026,696,N,,2869,P,,SLEIVA,2026-02-27 07:55:29
2026,681,N,,879,A,,SLEIVA,2026-02-25 10:19:54
2026,711,N,,50008,P,,SLEIVA,2026-02-27 11:15:57
2026,694,N,,3556,P,,GTEVEZ,2026-02-26 11:05:41
2026,731,N,,822,P,,GTEVEZ,2026-03-03 10:15:56
2026,697,N,,3390,P,,SLEIVA,2026-02-27 08:02:06
2026,733,N,,3011,P,,GTEVEZ,2026-03-03 11:04:07
2026,715,N,,50470,P,,SLEIVA,2026-02-27 11:28:22
2026,840,N,,3560,P,,SLEIVA,2026-03-10 08:33:28
2026,732,N,,50053,P,,GTEVEZ,2026-03-03 10:21:13
2026,842,N,,777,A,,SLEIVA,2026-03-10 08:44:20
2026,786,N,,850,P,,CDOPAZO,2026-03-05 11:33:35
2026,844,N,,57,P,,GTEVEZ,2026-03-10 08:51:25
2026,841,N,,41,A,,SLEIVA,2026-03-10 08:36:31
2026,846,N,,50278,P,,GTEVEZ,2026-03-10 09:25:42
2026,843,N,,3316,P,,GTEVEZ,2026-03-10 08:47:29
2026,848,N,,90,P,,CDOPAZO,2026-03-10 09:46:14
2026,845,N,,50278,P,,GTEVEZ,2026-03-10 09:02:42
2026,849,N,,216,P,,GTEVEZ,2026-03-10 09:53:49
2026,851,N,,2525,P,,GTEVEZ,2026-03-10 10:00:46
2026,853,N,,2218,A,,GTEVEZ,2026-03-10 11:06:21
2026,850,N,,2525,P,,GTEVEZ,2026-03-10 09:57:49
2026,855,N,,50278,P,,SLEIVA,2026-03-11 08:24:57
2026,852,N,,3516,P,,GTEVEZ,2026-03-10 10:59:05
2026,857,A,2026-03-11 00:00:00,3534,P,,SLEIVA,2026-03-11 08:34:00
2026,854,N,,50278,P,,SLEIVA,2026-03-11 08:14:01
2026,860,N,,3534,P,,GTEVEZ,2026-03-11 12:35:58
2026,856,N,,3233,P,,SLEIVA,2026-03-11 08:33:06
2026,859,N,,3169,P,,SLEIVA,2026-03-11 12:14:18
2026,858,N,,3454,P,,SLEIVA,2026-03-11 09:53:37
2026,863,N,,21,A,,GTEVEZ,2026-03-12 08:32:42
2026,862,N,,68,P,,GTEVEZ,2026-03-12 08:28:26
2026,861,N,,186,P,,SLEIVA,2026-03-12 08:14:46
2026,864,N,,2001,A,,GTEVEZ,2026-03-12 08:35:23
2026,867,N,,2578,A,,GTEVEZ,2026-03-12 08:39:04
2026,865,A,2026-03-12 00:00:00,50209,P,,SLEIVA,2026-03-12 08:37:39
2026,869,N,,2958,P,,GTEVEZ,2026-03-12 08:51:54
2026,866,N,,1810,P,,GTEVEZ,2026-03-12 08:37:40
2026,872,N,,1259,P,,GTEVEZ,2026-03-12 08:58:03
2026,868,A,2026-04-15 00:00:00,50910,P,,SLEIVA,2026-03-12 08:50:17
2026,870,N,,3529,P,,GTEVEZ,2026-03-12 08:54:23
2026,874,N,,1066,P,,GTEVEZ,2026-03-12 09:09:42
2026,871,N,,51080,P,,SLEIVA,2026-03-12 08:54:29
2026,876,N,,2142,A,,GTEVEZ,2026-03-12 09:14:39
2026,873,N,,50261,P,,SLEIVA,2026-03-12 09:03:58
2026,878,N,,2110,A,,GTEVEZ,2026-03-12 09:17:52
2026,875,N,,1259,P,,GTEVEZ,2026-03-12 09:12:57
2026,880,N,,50072,P,,SLEIVA,2026-03-12 09:31:40
2026,877,N,,789,P,,GTEVEZ,2026-03-12 09:16:39
2026,883,N,,51099,P,,SLEIVA,2026-03-12 11:04:44
2026,879,N,,50003,P,,GTEVEZ,2026-03-12 09:21:21
2026,881,N,,50008,P,,SLEIVA,2026-03-12 10:25:49
2026,885,N,,50256,P,,SLEIVA,2026-03-12 11:54:36
2026,882,N,,50002,P,,GTEVEZ,2026-03-12 10:26:00
2026,884,N,,2643,P,,SLEIVA,2026-03-12 11:49:57
2026,319,N,,169,A,,GTEVEZ,2026-01-27 08:24:20
2026,317,N,,169,A,,GTEVEZ,2026-01-27 08:16:55
2026,321,N,,2299,A,,GTEVEZ,2026-01-27 08:43:50
2026,318,N,,85,P,,GTEVEZ,2026-01-27 08:20:04
2026,323,N,,789,P,,GTEVEZ,2026-01-27 08:51:31
2026,320,N,,2593,A,,GTEVEZ,2026-01-27 08:31:43
