EJERCICIO,NUM_PED,ORDEN,INCISO,PAR_PRIN,PAR_PARC,CLASE,TIPO,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CANTIDAD,UNI_MED,DESCRIP_BIE,COSTO_UNI
2004,987,8,2,7,9,1600,12,1110103000,18,0,0,4.0,3,"ARANDELA - MATERIAL BRONCE - TIPO PLANA - DIAMETRO INTERIOR 3/8"" - DIAMETRO EXTERIOR 3/4"" - PRESENTACION CAJA X 50.",0.15
2004,988,1,3,5,1,2654,1,1110103000,51,76,0,1.0,176,"SERVICIO DE FLETE - POR TRANSPORTE DE 30.420 T. DE PIEDRA  10/30 DE TANDIL, 59.680 T. DE ARENA DESDE ARENERA QUERANDI A CIUDAD.",977.83
2004,989,1,2,8,4,2107,4,1110103000,51,76,0,30.42,1,PIEDRA PARTIDA - DIAMETRO 10 A 30 A GRANEL,19.36
2004,990,1,2,8,4,2107,4,1110103000,51,77,0,61.72,1,PIEDRA PARTIDA - DIAMETRO 10 A 30 A GRANEL,19.36
2004,991,1,3,5,1,2654,9999,1110103000,51,77,0,1.0,0,SERVICIO DE FLETE - POR TRANSPORTE DE123.690 T . PIEDRA DESDE TANDIL A CIUDAD.,2350.1
2004,992,1,2,5,2,2551,40,1110104000,16,0,0,1.0,3,REACTIVO - TIPO FOSFATA ALCALINA  ALP 405 TIPO WIENER - USO LABORATORIO - PRESENTACION LIQUIDA X 100,56.93
2004,992,2,2,9,5,4300,9999,1110104000,16,0,0,1.0,0,ZIEHL NEELSEN EQUIPO X 100 ML BRITANIA - ZIEHL NEELSEN EQUIPO X 100 ML BRITANIA (Genérico),20.3
2004,992,3,2,5,2,2551,9999,1110104000,16,0,0,1.0,0,REACTIVO - NORFLOXACINA 10 ug X 50 dis. BRITANIA,7.56
2004,992,4,2,5,2,2551,73,1110104000,16,0,0,1.0,3,REACTIVO - TIPO AGAR BASE COLUMBIA - USO LABORATORIO ( BACTERIOLOGIA ) - PRESENTACION ENVASE 100GR.,34.36
2004,992,5,2,9,5,3375,1,1110104000,16,0,0,1.0,180,FRASCOS DE HEMOCULTIVO - USO ADULTO - PRESENTACION CAJA X 60 UNIDADES,26.54
2004,992,6,2,9,5,2582,2,1110104000,16,0,0,2.0,3,CAPILARES  P/HEMATOCRITO - ADITIVO CON HEPARINA - PRESENTACION ENVASE X 500 CAP.,7.0
2004,992,7,2,9,5,2557,3,1110104000,16,0,0,2.0,3,CUBREOBJETO - MATERIAL VIDRIO - DIMENSION 18 X 18 - PRESENTACION CAJA  X 100 UNIDADES,11.83
2004,992,8,2,9,5,2557,2,1110104000,16,0,0,4.0,3,CUBREOBJETO - MATERIAL VIDRIO - DIMENSION 20 X 20  MM - PRESENTACION CAJA X 100.,9.85
2004,992,9,2,5,2,711,4,1110104000,16,0,0,1.0,3,ALCOHOL USO MEDICINAL - PUREZA METILICO ABSOLUTO - CAPACIDAD POR LITRO,8.76
2004,993,1,3,3,2,4163,9999,1110103000,22,0,0,2.0,0,REPARACION DE RADIADOR GENERAL - REPARACION DE RADIADOR GENERAL (Genérico) CAMBIAR PANEL DE DOS RADIADORES  DE CAMION M. BENZ.-,491.0
2004,994,1,2,5,6,797,9999,1110101000,1,0,0,1.0,0,NAFTA SUPER - NAFTA SUPER Y GAS-OIL,800.0
2004,995,1,2,9,6,1028,9999,1110103000,22,0,0,1.0,0,PALIER P/AUTOMOTOR - PALIER P/AUTOMOTOR M.BENZ.,168.0
2004,996,1,2,6,5,2242,2,1110103000,18,0,0,6.0,212,CEMENTO P/ALBAÑILERIA - TIPO PORTLAND - PRESENTACION X 50 KG.,17.5
2004,996,2,2,7,1,3009,9999,1110103000,18,0,0,1.0,0,MALLA DE ALAMBRE - MALLA DE ALAMBRE (GENERICO),46.0
2004,992,10,2,9,5,1909,13,1110104000,16,0,0,1.0,180,GUANTES USO MEDICINAL - TIPO DESCARTABLE - TAMAÑO MEDIANO - MATERIAL LATEX PRESENTACIÓN CAJA X 100 UNIDADES,11.27
2004,992,11,2,9,5,4078,9999,1110104000,16,0,0,1.0,0,GLICEMIA ENZ 1000 ml. WIENER - GLICEMIA ENZ 1000 ml. WIENER (Genérico),48.21
2004,992,12,2,9,5,4145,9999,1110104000,16,0,0,1.0,0,antiestrol - o hosp. x 24 det. - antiestrol - o hosp. x 24 det. (Genérico),36.33
2004,992,13,2,9,5,4114,9999,1110104000,16,0,0,1.0,0,ARTRITEST DIRECTO X 50 det. WIENER - ARTRITEST DIRECTO X 50 det. WIENER (Genérico),29.06
2004,997,1,4,3,6,1335,13,1110105000,27,0,0,1.0,3,ESTABILIZADOR DE TENSION - TIPO AUTOMATICO - POTENCIA 500W - RANGO TENSION ENT. 150-250V - TENSION SALIDA 220V.,47.0
2004,992,14,2,5,2,3493,9999,1110104000,16,0,0,1.0,0,DETERGENTE NO IONICO - DETERGENTE NO IONICO (GENERICO),16.63
2004,1243,2,2,6,2,682,9999,1110106000,24,0,0,6.0,0,VIDRIO  TRASLUCIDO - VIDRIO  TRASLUCIDO 40 X 51,8.0
2004,1244,1,3,5,1,2654,1,1110101000,1,0,0,5.0,176,SERVICIO DE FLETE - COMISIONES A BS. AS.,20.0
2004,1245,1,5,1,4,3411,1,1110106000,36,0,0,1365.0,3,FIDEOS SECOS - TIPO GUISERO - ENVASE PAQUETE - CAPACIDAD 500 GRS,0.67
2004,1246,1,3,6,1,3223,9999,1110101000,1,0,0,1.0,0,PUBLICIDAD GRAFICA - PUBLICIDAD GRAFICA (GENERICO),250.0
2004,1247,1,2,9,9,4339,9999,1110101000,1,0,0,1.0,0,"MATERIALES PARA INSTALACION DE GAS - PROLONGACIONES DOBLES DE CHAPA,GRAMPA PARA CALEFACTOR, PROTECTORES DE HIERRO, PUERTA,PROTECTOR,DE CHAPA PARA CAÑOS.",660.0
2004,1248,1,2,5,9,1240,9999,1110103000,20,0,0,12.0,0,MEMBRANA IMPERMEABILIZANTE - MEMBRANA IMPERMEABILIZANTE (GENERICO),41.0
2004,1248,2,2,6,4,2769,9999,1110103000,20,0,0,2.0,0,VIGUETA - VIGUETA 2.60,20.88
2004,1248,3,2,7,1,333,37,1110103000,20,0,0,2.0,1,"CLAVO - TIPO CABEZA PLANA - LARGO 1.1/2"".",5.0
2004,1249,1,2,5,6,3443,9999,1110108000,29,0,0,50.0,0,ACEITES LUBRICANTES - ACEITES LUBRICANTES (GENERICO),4.0
2004,1249,2,2,5,6,2817,9999,1110108000,29,0,0,3.0,0,ACEITE P/MOTOR 2 TIEMPOS - ACEITE P/MOTOR 2 TIEMPOS (GENERICO),10.0
2004,1249,3,2,7,1,1598,9999,1110108000,29,0,0,20.0,0,CADENA - CADENA (GENERICO),3.5
2004,1250,1,2,9,6,3897,1,1110103000,18,0,0,4.0,9,CUCHILLAS - DESTINO MOTONIVELADORA,175.0
2004,1251,1,2,9,6,925,9999,1110103000,18,0,0,1.0,0,BOMBA DE DIRECCION HIDRAULICA - BOMBA DE DIRECCION HIDRAULICA (GENERICO),1430.0
2004,1252,1,2,7,5,633,8,1110106000,36,0,0,3.0,3,PALA - TIPO ANCHA ACERO FORJADO - USO GENERAL - LARGO 1 MT,38.0
2004,1252,2,2,7,5,633,9,1110106000,36,0,0,3.0,3,PALA - TIPO DE PUNTA ACERO FORJADO - USO GENERAL - LARGO 1 MT,38.0
2004,1252,3,2,7,5,773,9999,1110106000,36,0,0,2.0,0,RASTRILLO - RASTRILLO (GENERICO),21.5
2004,1252,4,2,7,5,1148,9999,1110106000,36,0,0,2.0,0,HORQUILLA - HORQUILLA (GENERICO),44.0
2004,1252,5,4,3,2,198,9999,1110106000,36,0,0,1.0,0,CARRETILLA - CARRETILLA DE MANO (GENERICO),79.0
2004,1252,6,2,7,5,3567,9999,1110106000,36,0,0,2.0,0,MACHETES - MACHETES (GENERICO),18.0
2004,1252,7,2,7,5,3846,9999,1110106000,36,0,0,2.0,0,ZAPIN - ZAPIN (GENERICO),20.0
2004,1252,8,2,9,1,1081,8,1110106000,36,0,0,3.0,3,VIRUTA - PRESENTACION GRUESA - CONTENIDO - MATERIAL DE ACERO,4.0
2004,1252,9,2,3,4,999,44,1110106000,36,0,0,3.0,3,PAPEL DE LIJA - TIPO P/PARED - NUMERO 60 - PRESENTACION UNIDAD.,1.0
2004,1252,10,2,9,3,3308,1,1110106000,36,0,0,2.0,3,LAMPARA COMUN - CARACTERISTICA LUZ BLANCA - CAPACIDAD 100 WATTS.,2.0
2004,1252,11,2,9,3,1514,9999,1110106000,36,0,0,1.0,0,PORTALAMPARA - PORTALAMPARA (GENERICO),2.0
2004,1253,1,5,1,4,3668,9999,1110106000,31,0,0,500.0,0,LECHE - LECHE (GENERICO),1.28
2004,1253,2,5,1,4,3451,1,1110106000,31,0,0,500.0,1,"AZUCAR - TIPO ""A"" COMUN - ESTADO BLANCA MOLIDA - PRESENTACION BOLSA DE POLIETILENO X 1000 GRS.",1.04
2004,1253,3,5,1,4,4067,9999,1110106000,31,0,0,500.0,0,YERBA MATE X 500GRS. - YERBA MATE X 500GRS. (Genérico),0.69
2004,1253,4,5,1,4,3411,1,1110106000,31,0,0,500.0,3,FIDEOS SECOS - TIPO GUISERO - ENVASE PAQUETE - CAPACIDAD 500 GRS,0.69
2004,1253,5,5,1,4,3410,2,1110106000,31,0,0,500.0,3,ACEITE COMESTIBLE - TIPO MEZCLA - ENVASE PLASTICO - CAPACIDAD X 1 LT.,2.4
2004,1203,2,3,3,9,2047,9999,1110104000,16,0,0,1.0,0,INSTALACION DE EQUIPOS - INSTALACION LECTORA,15.0
2004,1254,1,3,4,2,2909,9999,1110104000,16,0,0,2.0,0,"SERVICIO DE LABORATORIO - FOSFATIDILSERINA IGG            
ANTICARDIOLIPINA IGG             
ANTICOAGULANTE LUPICO",160.0
2004,1255,1,2,5,6,793,9999,1110103000,21,0,0,1.0,0,GAS OIL - GAS OIL (GENERICO) 8000 LTS. ULTRA DIESEL XXI.-,10786.44
2004,1256,1,2,5,6,793,9999,1110111000,23,0,0,1.0,0,GAS OIL - GAS OIL (GENERICO) 5000 LTS. ULTRA DIESEL XXI.-,6741.53
2004,1189,1,2,8,4,316,2,1110106000,24,0,0,1.0,6,"ARENA - GRANULOMETRIA SILICEA, MEDIANA TIPO CONSTR..",30.25
2004,1189,2,2,8,4,2107,4,1110106000,24,0,0,1.0,6,PIEDRA PARTIDA - DIAMETRO 10 A 30 A GRANEL,58.0
2004,1189,3,2,6,5,2242,2,1110106000,24,0,0,7.0,212,CEMENTO P/ALBAÑILERIA - TIPO PORTLAND - PRESENTACION X 50 KG.,17.5
2004,1226,2,2,9,6,4433,9999,1110104000,16,0,0,1.0,0,FILTRO DE HILO PARA AGUA - FILTRO DE HILO PARA AGUA (Genérico),45.23
2004,1226,3,2,9,6,4434,9999,1110104000,16,0,0,2.0,0,ENGRANAJES HEL 50 HZ. - ENGRANAJES HEL 50 HZ. (Genérico),179.5
2004,1226,4,2,9,6,4435,9999,1110104000,16,0,0,2.0,0,RESORTES - RESORTES  (Genérico),37.0
2004,1226,5,2,9,6,4436,9999,1110104000,16,0,0,4.0,0,ARANDELAS SEGUER - ARANDELAS SEGUER (Genérico),1.5
2004,1226,6,2,9,6,4437,9999,1110104000,16,0,0,2.0,0,ENGRANAJES DE MANEJO - ENGRANAJES DE MANEJO (Genérico),6.8
2004,1227,2,2,9,6,4439,9999,1110104000,16,0,0,2.0,0,BUJES EJE PRINCIPAL - BUJES EJE PRINCIPAL (Genérico),63.7
2004,1227,3,2,9,6,4440,9999,1110104000,16,0,0,1.0,0,RODILLO ESCURRIDOR - RODILLO ESCURRIDOR (Genérico),879.58
2004,1227,4,2,9,6,4441,9999,1110104000,16,0,0,1.0,0,ENGRANAJE GRANDE - ENGRANAJE GRANDE (Genérico),98.5
