EJERCICIO,NUM_PED,ORDEN,INCISO,PAR_PRIN,PAR_PARC,CLASE,TIPO,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CANTIDAD,UNI_MED,DESCRIP_BIE,COSTO_UNI,PED_FECH_EMI,PED_OBSERVACIONES,PED_CODIGO_DEP,PED_COSTO_TOT
2026,141,11,2,1,1,8270,9999,1110111000,23,0,0,4,0,PATE / PICADILLO - PATE / PICADILLO (Genérico),999,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,141,12,2,1,1,455,9999,1110111000,23,0,0,4,0,DULCE DE LECHE - DULCE DE LECHE (GENERICO),1450,2026-01-06 00:00:00,"Durante Javier, presupuesto 0001-00000813",CAS,150707
2026,863,1,2,7,9,1540,7,1110109000,28,0,0,14,3,TROFEO - TERMINACION BAÑO DE PLATA CINCELADA - BOCA ANCHA - BASE MARMOL - MANIJAS CON - ALTO 50CM - TIPO COPA.Trofeo Open,70183.63,2026-02-27 00:00:00,Cirucci Silvia (Trofeos).Expte 129/2026,DEP,2233674.52
2026,863,2,2,7,9,1540,6,1110109000,28,0,0,14,3,TROFEO - TERMINACION BAÑO DE PLATA CINCELADA - BOCA ANCHA - BASE MARMOL - MANIJAS CON - ALTO 40CM - TIPO COPA.,49135.68,2026-02-27 00:00:00,Cirucci Silvia (Trofeos).Expte 129/2026,DEP,2233674.52
2026,863,3,2,7,9,1540,9999,1110109000,28,0,0,14,0,TROFEO - TROFEO (GENERICO)Trofeo Opren.,40228.87,2026-02-27 00:00:00,Cirucci Silvia (Trofeos).Expte 129/2026,DEP,2233674.52
2026,868,1,2,5,2,8850,9999,1110104000,16,0,0,400,0,CAJAS SOLUCION FISIOLOGICA X 100 ML - FISIOLOGICA X 100 ML SACHET,2589.5,2026-02-27 00:00:00,VELIBO SUPPLIES S.A.S- PREUPUESTO N° 0001-00010771,FARM,7172480
2026,868,2,2,5,2,1855,6,1110104000,16,0,0,177,3,CORTICOESTEROIDE - DEXAMETASONA AMPOLLA  8 MG.,1315,2026-02-27 00:00:00,VELIBO SUPPLIES S.A.S- PREUPUESTO N° 0001-00010771,FARM,7172480
2026,868,3,2,5,2,3350,1,1110104000,16,0,0,1,3,FIBRINOLITICO - ESTREPTOQUINASA 1.500.000 U.I.FRASCO AMPOLLA,3189200,2026-02-27 00:00:00,VELIBO SUPPLIES S.A.S- PREUPUESTO N° 0001-00010771,FARM,7172480
2026,868,4,2,9,5,3498,3,1110104000,16,0,0,1000,3,PAÑAL DESCARTABLE - TAMAÑO GRANDE NONISEC,412.8,2026-02-27 00:00:00,VELIBO SUPPLIES S.A.S- PREUPUESTO N° 0001-00010771,FARM,7172480
2026,868,5,2,5,2,3486,6,1110104000,16,0,0,400,3,AGUA DESTILADA - AMPOLLA X 5 ML,490,2026-02-27 00:00:00,VELIBO SUPPLIES S.A.S- PREUPUESTO N° 0001-00010771,FARM,7172480
2026,868,6,2,5,2,1821,92,1110104000,16,0,0,200,3,ANTIBIOTICOS - TRIMETROPIMA+ SULFAMETOXAZOL AMPOLLAS,8800,2026-02-27 00:00:00,VELIBO SUPPLIES S.A.S- PREUPUESTO N° 0001-00010771,FARM,7172480
2026,868,7,2,5,2,1724,8,1110104000,16,0,0,2000,3,ANALGESICOS - PARACETAMOL - COMPRIMIDO 500 MG.,46.5,2026-02-27 00:00:00,VELIBO SUPPLIES S.A.S- PREUPUESTO N° 0001-00010771,FARM,7172480
2026,868,8,2,5,2,1725,1,1110104000,16,0,0,3000,3,ANTIINFLAMATORIO - DICLOFENAC COMPRIMIDO 75mg.,52.8,2026-02-27 00:00:00,VELIBO SUPPLIES S.A.S- PREUPUESTO N° 0001-00010771,FARM,7172480
2026,868,9,2,5,2,1821,9999,1110104000,16,0,0,5,0,ANTIBIOTICOS - DEXMEDETOMIDINA 200 MCG AMPOLLAS,18905,2026-02-27 00:00:00,VELIBO SUPPLIES S.A.S- PREUPUESTO N° 0001-00010771,FARM,7172480
2026,954,1,3,9,9,2439,9999,1110104000,16,0,0,1,0,"SERV. RESIDUOS PATOLOGICOS - SERVICIO DE RECOLECCION DE CONTENEDORES 200 LTS, TRATAMIENTO Y DISPOSICION FINAL DE RESIDUOS PATOGENICOS DEL 01/01/2026 AL 30/06/2026",43000,2026-03-06 00:00:00, EXPEDIENTE 5/2025 CONTRATO SOMA S.A DEL 01/01/26 AL 30/06/2026 RECOLECCIÓN SERVICIOS RESIDUOS  PATOGENICOS - DIF ORDEN DE COMPRA N° 127,HOSP,43000
2026,956,1,2,5,6,13350,9999,1110102000,1,0,0,500,0,DIESEL 500 - DIESEL 500  (Genérico),2000,2026-03-06 00:00:00,CORRESPONDE PREVISION COMBUSTIBLES DEL SALADO - SEC GOBIERNO,GOB,4750000
2026,956,2,2,5,6,13351,9999,1110102000,1,0,0,500,0,NAFTA SUPER - NAFTA SUPER (Genérico),2000,2026-03-06 00:00:00,CORRESPONDE PREVISION COMBUSTIBLES DEL SALADO - SEC GOBIERNO,GOB,4750000
2026,956,3,2,5,6,13352,9999,1110102000,1,0,0,500,0,INFINIA DIESEL - INFINIA DIESEL  (Genérico),2000,2026-03-06 00:00:00,CORRESPONDE PREVISION COMBUSTIBLES DEL SALADO - SEC GOBIERNO,GOB,4750000
2026,956,4,2,5,6,13353,9999,1110102000,1,0,0,500,0,NAFTA INFINIA - NAFTA INFINIA  (Genérico),2000,2026-03-06 00:00:00,CORRESPONDE PREVISION COMBUSTIBLES DEL SALADO - SEC GOBIERNO,GOB,4750000
2026,956,5,2,5,1,259,9999,1110102000,1,0,0,30,0,AGUA DESTILADA - AGUA DESTILADA (GENERICO),15000,2026-03-06 00:00:00,CORRESPONDE PREVISION COMBUSTIBLES DEL SALADO - SEC GOBIERNO,GOB,4750000
2026,956,6,2,5,6,13354,9999,1110102000,1,0,0,10,0,Aceite dos tiempos - Aceite dos tiempos (Genérico),30000,2026-03-06 00:00:00,CORRESPONDE PREVISION COMBUSTIBLES DEL SALADO - SEC GOBIERNO,GOB,4750000
2026,684,1,2,9,6,2676,9999,1110113000,42,0,0,1,0,CARBON P/ MOTOR ARRANQUE - CARBON P/ MOTOR ARRANQUE (REPARACION DE ARRANQUE),80000,2026-02-12 00:00:00,"Fabrimar, presupuesto 0296 (AB038FH)",SECSEG,80000
2026,685,1,2,9,9,7692,9999,1110113000,42,0,0,1,0,VÁSTAGOS - VÁSTAGOS,11440,2026-02-12 00:00:00,"Casa Harisgarat, presupuesto 1026 (comisaria de la mujer)",SECSEG,21840
2026,685,2,2,9,6,1472,9999,1110113000,42,0,0,1,0,CABEZAL DE CANILLA - CABEZAL DE CANILLA,10400,2026-02-12 00:00:00,"Casa Harisgarat, presupuesto 1026 (comisaria de la mujer)",SECSEG,21840
2026,686,1,2,5,6,3443,9999,1110113000,42,0,0,2,0,ACEITES LUBRICANTES - ACEITES LUBRICANTES,11250,2026-02-12 00:00:00,"Ferreteria Todo Color, presupuesto 5937 (mantenimiento en general del area)",SECSEG,57740
2026,686,2,2,7,9,2825,9999,1110113000,42,0,0,1,0,CANILLA - CANILLA METAL 3/4,14500,2026-02-12 00:00:00,"Ferreteria Todo Color, presupuesto 5937 (mantenimiento en general del area)",SECSEG,57740
2026,686,3,2,9,9,13085,9999,1110113000,42,0,0,1,0,SELLA ROSCA - SELLA ROSCA,3450,2026-02-12 00:00:00,"Ferreteria Todo Color, presupuesto 5937 (mantenimiento en general del area)",SECSEG,57740
2026,686,4,2,5,8,1778,9999,1110113000,42,0,0,1,0,TEFLON - TEFLON,1900,2026-02-12 00:00:00,"Ferreteria Todo Color, presupuesto 5937 (mantenimiento en general del area)",SECSEG,57740
2026,686,5,2,9,3,3824,9999,1110113000,42,0,0,1,0,PRECINTO - PRECINTO (30 U),2910,2026-02-12 00:00:00,"Ferreteria Todo Color, presupuesto 5937 (mantenimiento en general del area)",SECSEG,57740
2026,686,6,2,9,2,368,9999,1110113000,42,0,0,4,0,ESCUADRA - ESCUADRA PLANA,790,2026-02-12 00:00:00,"Ferreteria Todo Color, presupuesto 5937 (mantenimiento en general del area)",SECSEG,57740
2026,686,7,2,7,9,644,9999,1110113000,42,0,0,20,0,TORNILLO - TORNILLO (GENERICO),191,2026-02-12 00:00:00,"Ferreteria Todo Color, presupuesto 5937 (mantenimiento en general del area)",SECSEG,57740
2026,686,8,2,9,9,13378,9999,1110113000,42,0,0,1,0,FILTRO P/ VALVULA - FILTRO P/ VALVULA,5500,2026-02-12 00:00:00,"Ferreteria Todo Color, presupuesto 5937 (mantenimiento en general del area)",SECSEG,57740
2026,687,1,2,9,9,6750,9999,1110113000,42,0,0,2,0,Bisagra - Bisagra,4260,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,687,2,2,5,8,3966,9999,1110113000,42,0,0,20,0,TEE - TEE,66,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,687,3,2,9,9,8192,9999,1110113000,42,0,0,1,0,ESPUMA POLIURETANO - ESPUMA POLIURETANO,14628,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,687,4,2,7,9,820,9999,1110113000,42,0,0,50,0,REMACHE - REMACHE,38,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,687,5,2,9,9,13107,9999,1110113000,42,0,0,1,0,GUANTE TACTIL - GUANTE TACTIL,3000,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,687,6,2,5,6,3443,9999,1110113000,42,0,0,1,0,ACEITES LUBRICANTES - ACEITES LUBRICANTES,7000,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,687,7,2,7,9,1648,9999,1110113000,42,0,0,1,0,BULON - BULON,14635,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,687,8,2,9,9,13244,9999,1110113000,42,0,0,1,0,Kit de Parche - Kit de Parche (Genérico),24708,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,687,9,2,5,5,579,9999,1110113000,42,0,0,1,0,MASILLA - MASILLA,10522,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,687,10,2,5,5,728,9999,1110113000,42,0,0,1,0,PINTURA AL LATEX - PINTURA AL LATEX,5650,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,687,11,2,8,9,1159,9999,1110113000,42,0,0,1,0,BORAX P/SOLDAR - BORAX P/SOLDAR (GENERICO),6750,2026-02-12 00:00:00,"Todo Color, presupuesto 5944 (mantenimiento general del area)",SECSEG,98633
2026,688,1,2,9,6,6960,9999,1110113000,42,0,0,20,0,ARANDELAS PLANAS - ARANDELAS PLANAS (Genérico),65,2026-02-12 00:00:00,"Todo Color, presupuesto 5924 (mantenimiento en general del area )",SECSEG,57931
2026,688,2,2,7,9,1648,9999,1110113000,42,0,0,1,0,BULON - BULON (GENERICO),4421,2026-02-12 00:00:00,"Todo Color, presupuesto 5924 (mantenimiento en general del area )",SECSEG,57931
2026,688,3,2,5,8,3966,9999,1110113000,42,0,0,1,0,TEE - TEE (GENERICO),2520,2026-02-12 00:00:00,"Todo Color, presupuesto 5924 (mantenimiento en general del area )",SECSEG,57931
2026,688,4,2,9,9,6494,9999,1110113000,42,0,0,12,0,CINTA PELIGRO - CINTA PELIGRO,2900,2026-02-12 00:00:00,"Todo Color, presupuesto 5924 (mantenimiento en general del area )",SECSEG,57931
2026,688,5,2,1,4,3512,9999,1110113000,42,0,0,1,0,PEGAMENTO - PEGAMENTO,1990,2026-02-12 00:00:00,"Todo Color, presupuesto 5924 (mantenimiento en general del area )",SECSEG,57931
2026,688,6,2,9,9,13107,9999,1110113000,42,0,0,3,0,GUANTE TACTIL - GUANTE TACTIL,3000,2026-02-12 00:00:00,"Todo Color, presupuesto 5924 (mantenimiento en general del area )",SECSEG,57931
2026,688,7,2,5,5,258,9999,1110113000,42,0,0,1,0,AGUARRAS MINERAL - AGUARRAS MINERAL (GENERICO),3900,2026-02-12 00:00:00,"Todo Color, presupuesto 5924 (mantenimiento en general del area )",SECSEG,57931
2026,689,1,2,4,4,2593,9999,1110113000,42,0,0,1,0,PARCHE P/CAMARA - PARCHE P/CAMARA (OIG911-AE704AX-AF496MN-AF245CY-AF349OI-AF354SS-AE704AW-AF173LN-JCH069-NUF386),103000,2026-02-12 00:00:00,Gomeria V+B presupuestos 0727-0729-0730-0731-0732-0733-0735-0737-0738-0739-0740-0742-0743-0744,SECSEG,103000
2026,690,1,3,3,2,4237,9999,1110113000,42,0,0,1,0,ALINEAR Y BALANCEAR - ALINEAR Y BALANCEAR (AE704AX-AE747PM),50000,2026-02-12 00:00:00,"Gomeria V+B, presupuesto 0745-0741",SECSEG,50000
2026,691,1,2,4,4,2593,9999,1110113000,42,0,0,1,0,PARCHE P/CAMARA - PARCHE P/CAMARA (ae74aw- af173ln-oig911-af469mn-lbn155-af354su-af747pm-ab038fh-af354ss),306000,2026-02-12 00:00:00,"Gomeria La Diagonal, presupuesto 0568-0569-0570",SECSEG,306000
2026,692,1,2,9,6,5721,9999,1110113000,42,0,0,1,0,CD - CD (Genérico),47400,2026-02-12 00:00:00,"Systec, presupuesto 0800 (COM)",SECSEG,47400
2026,849,1,2,1,1,478,9999,1110109000,28,0,0,1,0,AGUA MINERAL - AGUA MINERAL (GENERICO),500000,2026-02-26 00:00:00,PREVISION SIN N° - YELITO AGUA - HIDRATACION EN EVENTOS DEPORTIVOS PRIMER SEMESTRE DEL AÑO,DEP,500000
2026,238,1,3,9,9,11986,9999,1110111000,23,0,0,1,0,MANO DE OBRA - LAVADO DE CONDENSADORES Y RECARGA DE GAS REFRIGERANTE PARA AIRE ACONDICIONADO EN RETRO NEW HOLLAND,145000,2026-01-12 00:00:00,CORRESPONDE PRESUPUESTO RICOTTI FRANCO - CASER DOMINIO FAZ81,CAS,145000
2026,266,1,2,9,3,1766,9999,1110102000,1,0,0,1,0,PROLONGADOR - Prolongador 6 tomas x 1.4 mts Kalop,24191,2026-01-12 00:00:00,Corresponde presupuesto N° 00029673 - Suc. Dannunzio,GOB,24191
2026,389,1,2,9,6,6577,9999,1110111000,23,0,0,1,0,"FILTROS VARIOS - WK 731 DEUTZ VARIOS (2) $43400 
WK 940/7 CUMMINS 4B3.9- 4BT3 9-6BT5.9-6C (1) $35500
wk 950/14 $66800 
w 940/34 CUMMINS MOT 4B 3.9 4 BT 3.9 $24200 
WP 12300 FORD CARGO -VOLKSWAGEN $98400 
WAP - 176 $121600 
AS 4992 $98600 
C 24650/1 MB-SCANIA-CUMMINS-ZANELLO $104.100 (TRACTOR PAUNY, MOTONIVELADORA NEW HOLLAND) TOTAL $ 592.600 
ORIG JD DQ 24057 $ 57700 TRACTOR J.D
",650300,2026-01-19 00:00:00,Corresponde presupuesto N° 06937/06957/06961/06968- RAMOS E ISIDRO,CAS,885800
2026,389,2,2,5,1,259,9999,1110111000,23,0,0,6,0,AGUA DESTILADA - AGUA DESTILADA X 5 LITROS,3000,2026-01-19 00:00:00,Corresponde presupuesto N° 06937/06957/06961/06968- RAMOS E ISIDRO,CAS,885800
2026,389,3,2,5,6,3445,9999,1110111000,23,0,0,1,0,REFRIGERANTE/ANTICONGELANTE - GLACELF SUPRA X 20 LTS,200500,2026-01-19 00:00:00,Corresponde presupuesto N° 06937/06957/06961/06968- RAMOS E ISIDRO,CAS,885800
2026,389,4,2,9,9,4347,15,1110111000,23,0,0,1,0,"ACEITE, FILTROS. - EVOL 900 5W40",17000,2026-01-19 00:00:00,Corresponde presupuesto N° 06937/06957/06961/06968- RAMOS E ISIDRO,CAS,885800
2026,405,1,2,5,6,793,9999,1110111000,23,0,0,7000,0,GAS OIL - GAS OIL,1611,2026-01-20 00:00:00,Corresponde CASA ELICEIRY - Pedido 20/01/2026,CAS,11277000
2026,412,1,3,2,1,2527,9999,1110105000,50,0,0,1,0,"ALQUILER DE EDIFICIO - ALQUILER DE EDIFICIO DONDE FUNCIONA LA OFICINA DE CULTURA Y EDUCACION EN CALLE DR. CARLOS MADARIAGA Y ALBERTI. POR EL PERIODO DEL MES DE ENERO, PERCIBIENDO LA SUMA DE $480.000",480000,2026-01-20 00:00:00,Corresponde - ALQUILER SOCIEDAD ESPAÑOLA EXPTE N°  94/2025,CULTUR,480000
2026,504,1,2,9,3,284,9999,1110113000,42,0,0,1,0,BATERIA ESPECIAL - BATERIA ESPECIAL (BATERIA PARA TESTER),13230,2026-01-29 00:00:00,"Electro Dannunzio, presupuesto 29981-30014-300332( COM)",SECSEG,76257.6
2026,504,2,2,9,3,1135,9999,1110113000,42,0,0,1,0,CABLE TELEFONICO - CABLE TELEFONICO,7850,2026-01-29 00:00:00,"Electro Dannunzio, presupuesto 29981-30014-300332( COM)",SECSEG,76257.6
2026,504,3,2,9,3,1550,9999,1110113000,42,0,0,10,0,CONECTOR - CONECTOR,418.87,2026-01-29 00:00:00,"Electro Dannunzio, presupuesto 29981-30014-300332( COM)",SECSEG,76257.6
2026,504,4,2,9,3,1563,9999,1110113000,42,0,0,30,0,CABLE UTP - CABLE UTP,1699.63,2026-01-29 00:00:00,"Electro Dannunzio, presupuesto 29981-30014-300332( COM)",SECSEG,76257.6
2026,509,1,2,9,2,13160,9999,1110113000,42,0,0,1,0,Pila - Pila (grandes y AAA),78838.92,2026-01-29 00:00:00,"Electro Dannunzio, presupuesto 29947 (COM)",SECSEG,78838.92
2026,514,1,2,9,6,1034,9999,1110113000,42,0,0,1,0,CRUCETA P/AUTOMOTOR - CRUCETA P/AUTOMOTOR,38000,2026-01-29 00:00:00,"Rodamientos Tuyu, presupuesto 3030 (OIG 911- AF173LP-AF245CY)",SECSEG,416800
2026,514,2,2,9,6,625,9999,1110113000,42,0,0,1,0,PASTILLA DE FRENO - PASTILLA DE FRENO,36000,2026-01-29 00:00:00,"Rodamientos Tuyu, presupuesto 3030 (OIG 911- AF173LP-AF245CY)",SECSEG,416800
2026,514,3,2,9,6,1190,9999,1110113000,42,0,0,2,0,RETEN P/AUTOMOTOR Y MAQ.VIAL - RETEN P/AUTOMOTOR Y MAQ.VIAL,12000,2026-01-29 00:00:00,"Rodamientos Tuyu, presupuesto 3030 (OIG 911- AF173LP-AF245CY)",SECSEG,416800
2026,514,4,2,9,6,4283,9999,1110113000,42,0,0,1,0,JUEGO JUNTAS COMPLETO MOTOR -RETENES CIGUEÑAL - JUEGO JUNTAS COMPLETO MOTOR -RETENES CIGUEÑAL,58800,2026-01-29 00:00:00,"Rodamientos Tuyu, presupuesto 3030 (OIG 911- AF173LP-AF245CY)",SECSEG,416800
2026,514,5,2,7,9,644,9999,1110113000,42,0,0,1,0,TORNILLO - TORNILLO,26000,2026-01-29 00:00:00,"Rodamientos Tuyu, presupuesto 3030 (OIG 911- AF173LP-AF245CY)",SECSEG,416800
2026,514,6,2,9,6,11554,9999,1110113000,42,0,0,1,0,CORREA - CORREA,28200,2026-01-29 00:00:00,"Rodamientos Tuyu, presupuesto 3030 (OIG 911- AF173LP-AF245CY)",SECSEG,416800
2026,514,7,2,9,6,1705,9999,1110113000,42,0,0,1,0,TENSOR - TENSOR,93600,2026-01-29 00:00:00,"Rodamientos Tuyu, presupuesto 3030 (OIG 911- AF173LP-AF245CY)",SECSEG,416800
2026,514,8,2,7,9,13173,9999,1110113000,42,0,0,1,0,CAÑO - CAÑO (caño calef),19000,2026-01-29 00:00:00,"Rodamientos Tuyu, presupuesto 3030 (OIG 911- AF173LP-AF245CY)",SECSEG,416800
2026,514,9,2,9,6,988,9999,1110113000,42,0,0,1,0,TERMOSTATO P/AUTOMOTOR - TERMOSTATO P/AUTOMOTOR,63000,2026-01-29 00:00:00,"Rodamientos Tuyu, presupuesto 3030 (OIG 911- AF173LP-AF245CY)",SECSEG,416800
2026,514,10,2,9,6,11963,9999,1110113000,42,0,0,1,0,REPUESTO - REPUESTO,30200,2026-01-29 00:00:00,"Rodamientos Tuyu, presupuesto 3030 (OIG 911- AF173LP-AF245CY)",SECSEG,416800
2026,515,1,2,9,6,3063,9999,1110113000,42,0,0,1,0,FILTRO DE ACEITE P/VEHICULO - FILTRO DE ACEITE P/VEHICULO,10000,2026-01-29 00:00:00,"Baterias La Primera, presupuesto 6310 (JCH 069)",SECSEG,10000
2026,578,1,2,5,6,3443,9999,1110109000,28,0,0,4,0,ACEITES LUBRICANTES - ACEITES LUBRICANTES (GENERICO),10000,2026-02-05 00:00:00,PRESUPUESTO N° 6978 - PRESUPUESTO N° 6987- BATERIAS LA PRIMERA - ACEITE QUEMADO PARA PINTAR QUEBRACHOS DEL PARQUE ANCHORENA,DEP,70000
2026,578,2,2,5,6,4614,9999,1110109000,28,0,0,1,0,ACEITES - ACEITES (Genérico),30000,2026-02-05 00:00:00,PRESUPUESTO N° 6978 - PRESUPUESTO N° 6987- BATERIAS LA PRIMERA - ACEITE QUEMADO PARA PINTAR QUEBRACHOS DEL PARQUE ANCHORENA,DEP,70000
2026,580,1,2,1,1,5575,9999,1110109000,28,0,0,1,0,FRUTAS Y VERDURA - FRUTAS Y VERDURA (Genérico),500000,2026-02-05 00:00:00,PREVICION  MARCELO LABATUT,DEP,500000
2026,582,1,2,9,1,7072,9999,1110109000,28,0,0,2,0,REP. CLARIFICADOR - REP. CLARIFICADOR (Genérico),4800,2026-02-05 00:00:00,PRESUPUESTO TERRANOVA QUIMICA N 1026,DEP,9600
